time,temperature_2m (°C)
2024-11-29T00:00,8.8
2024-11-29T00:15,8.9
2024-11-29T00:30,8.9
2024-11-29T00:45,9.1
2024-11-29T01:00,9.1
2024-11-29T01:15,9.1
2024-11-29T01:30,8.9
2024-11-29T01:45,8.8
2024-11-29T02:00,8.7
2024-11-29T02:15,8.6
2024-11-29T02:30,8.5
2024-11-29T02:45,8.4
2024-11-29T03:00,8.3
2024-11-29T03:15,8.2
2024-11-29T03:30,8.1
2024-11-29T03:45,7.9
2024-11-29T04:00,7.8
2024-11-29T04:15,7.7
2024-11-29T04:30,7.5
2024-11-29T04:45,7.3
2024-11-29T05:00,7.2
2024-11-29T05:15,7.2
2024-11-29T05:30,7.1
2024-11-29T05:45,7.1
2024-11-29T06:00,7.0
2024-11-29T06:15,6.9
2024-11-29T06:30,6.8
2024-11-29T06:45,6.7
2024-11-29T07:00,6.6
2024-11-29T07:15,6.6
2024-11-29T07:30,6.4
2024-11-29T07:45,6.4
2024-11-29T08:00,6.3
2024-11-29T08:15,6.3
2024-11-29T08:30,6.2
2024-11-29T08:45,6.2
2024-11-29T09:00,6.2
2024-11-29T09:15,6.3
2024-11-29T09:30,6.4
2024-11-29T09:45,6.7
2024-11-29T10:00,6.8
2024-11-29T10:15,7.1
2024-11-29T10:30,7.3
2024-11-29T10:45,7.7
2024-11-29T11:00,8.1
2024-11-29T11:15,8.6
2024-11-29T11:30,9.4
2024-11-29T11:45,10.1
2024-11-29T12:00,10.6
2024-11-29T12:15,11.1
2024-11-29T12:30,11.5
2024-11-29T12:45,11.9
2024-11-29T13:00,12.1
2024-11-29T13:15,12.4
2024-11-29T13:30,12.6
2024-11-29T13:45,12.7
2024-11-29T14:00,12.9
2024-11-29T14:15,13.0
2024-11-29T14:30,13.1
2024-11-29T14:45,13.2
2024-11-29T15:00,13.2
2024-11-29T15:15,13.2
2024-11-29T15:30,13.1
2024-11-29T15:45,12.9
2024-11-29T16:00,12.6
2024-11-29T16:15,12.2
2024-11-29T16:30,11.8
2024-11-29T16:45,11.2
2024-11-29T17:00,10.8
2024-11-29T17:15,10.2
2024-11-29T17:30,9.8
2024-11-29T17:45,9.3
2024-11-29T18:00,9.0
2024-11-29T18:15,8.9
2024-11-29T18:30,8.9
2024-11-29T18:45,8.9
